# VesselTripName,NetStation,Replicate,CollectedBy,DateUTC,StartTimeUTC,EndTimeUTC,Duration,NetTypeMeshSizeDimensionsNetMouth,VesselSpeed,VesselDirection,WindSpeed,WindDirection,SeaTemperature,Salinity,Depth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,StartFlowmeter,EndFlowmeter,Flow,HardPlastics,SoftPlastics,PlasticLines,Styrofoam,Pellets,TotalPlastics,DriftingWood,Pumice,Cs
Southern Surveyor/ss2012_t02,24,2,"Julia Reisser, Dagmar Kubistin",04.05.12,8:34,8:49,15,Manta/ 333/ 1 x 0.17,3.4,225,24,177,25.6,35.171,4031.7,-24.91807,155.20227,-24.92683,155.19158,147314,192115,44801,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2012_t02,24,3,"Julia Reisser, Dagmar Kubistin",04.05.12,8:59,9:15,16,Manta/ 333/ 1 x 0.17,3.9,225,20,176,25.6,35.163,3639.9,-24.9343,155.18305,-24.94468,155.17105,192115,239864,47749,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2012_t02,25,1,"Julia Reisser, Murphy Birnberg",06.05.12,2:28,2:43,15,Manta/ 333/ 1 x 0.17,2.9,92,11,266,24.6,35.442,1460,-23.87053,162.33852,-23.86773,162.35852,239864,288624,48760,10,2,0,0,0,12,0,2,5835.5573
Southern Surveyor/ss2012_t02,25,2,"Julia Reisser, Murphy Birnberg",06.05.12,2:48,3:04,15,Manta/ 333/ 1 x 0.17,2.8,91,12,177,24.6,35.461,1437.2,-23.86773,162.35852,-23.86558,162.37238,288624,333335,44711,11,0,0,0,0,11,0,1,7695.1366
Southern Surveyor/ss2012_t02,25,3,"Julia Reisser, Murphy Birnberg",06.05.12,3:06,3:22,16,Manta/ 333/ 1 x 0.17,3,91,12,187,24.6,35.451,1458,-23.86543,162.37358,-23.86313,162.389,333335,379648,46313,16,0,0,0,0,16,0,3,10077.8832
Southern Surveyor/ss2012_t02,26,1,"Julia Reisser, Murphy Birnberg",07.05.12,2:22,2:38,16,Manta/ 333/ 1 x 0.17,2.9,68,11,190,25.9,35.266,1518.6,-23.21353,166.6191,-23.21038,166.63462,379654,425757,46103,1,0,0,0,0,1,0,6,616.0717
Southern Surveyor/ss2012_t02,26,2,"Julia Reisser, Murphy Birnberg",07.05.12,2:39,2:53,14,Manta/ 333/ 1 x 0.17,3.7,71,10,194,25.9,35.247,1492.6,-23.21028,166.63518,-23.20748,166.65045,425757,472378,46621,0,0,0,0,0,0,1,5,0
Southern Surveyor/ss2012_t02,26,3,"Julia Reisser, Murphy Birnberg",07.05.12,2:55,3:09,14,Manta/ 333/ 1 x 0.17,3.5,69,13,189,26,35.25,1423.9,-23.20728,166.65175,-23.20437,166.66682,472378,517717,45339,0,0,0,0,0,0,0,4,0
Southern Surveyor/ss2012_t02,27,1,"Julia Reisser, Murphy Birnberg",08.05.12,2:20,2:35,15,Manta/ 333/ 1 x 0.17,3.3,53,7,234,26.1,35.082,2136.5,-21.76922,170.62282,-21.76167,170.63603,517723,564091,46368,2,0,0,0,0,2,1,12,1248.2325
Southern Surveyor/ss2012_t02,27,2,"Julia Reisser, Murphy Birnberg",08.05.12,2:37,2:52,14,Manta/ 333/ 1 x 0.17,3.8,55,7,224,26,35.083,2254.1,-21.76087,170.63752,-21.75208,170.65232,564091,615906,51815,16,0,0,0,0,16,0,2,8821.4223
Southern Surveyor/ss2012_t02,27,3,"Julia Reisser, Murphy Birnberg",08.05.12,2:53,3:09,16,Manta/ 333/ 1 x 0.17,3.5,56,7,229,26,35.077,2268,-21.75115,170.65403,-21.74267,170.66887,615906,668073,52167,11,0,0,0,0,11,0,1,6114.519
Southern Surveyor/ss2012_t03,28,1,"Julia Reisser, Luana Lins",07.06.12,6:05,2:20,15,Manta/ 333/ 1 x 0.17,3.3,222,8,182,26,34.79,2959.6,-18.56495,176.50677,-18.572,176.49807,668300,714421,46121,50,3,5,1,0,59,22,175,48895.5752
Southern Surveyor/ss2012_t03,28,2,"Julia Reisser, Luana Lins",07.06.12,6:24,6:40,16,Manta/ 333/ 1 x 0.17,2.9,223,8,177,26,34.75,720,-18.57427,176.49493,-18.58117,176.4853,714421,764305,49884,10,0,0,0,0,10,0,15,7857.041
Southern Surveyor/ss2012_t03,28,3,"Julia Reisser, Luana Lins",07.06.12,6:41,6:56,15,Manta/ 333/ 1 x 0.17,2.7,221,8,150,26,34.8,3011.8,-18.58183,176.4844,-18.58837,176.47537,764305,812025,47720,4,0,0,0,0,4,0,0,3339.7575
Southern Surveyor/ss2012_t03,29,1,"Julia Reisser, Luana Lins",07.06.12,18:02,18:17,15,Manta/ 333/ 1 x 0.17,3,227,3,227,25.9,34.95,2156.5,-19.97755,174.99072,-19.98708,174.98277,812014,864306,52292,12,0,0,1,0,13,0,34,9647.4281
